# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_simple_otat1
# Exported by: Badger
setting:	replacespawns 1
item_ammo_revolver_ttt	-231.445007 -2131.669678 256.391602	0.520 -4.960 0.222
item_ammo_revolver_ttt	-220.655167 -2118.603760 256.405640	1.222 -0.041 -0.903
item_ammo_revolver_ttt	627.608765 152.868500 168.424622	1.003 -0.027 -0.638
item_ammo_revolver_ttt	608.755188 136.743408 168.380341	0.353 0.048 0.600
item_ammo_revolver_ttt	-271.536865 -2221.855225 32.433334	0.903 -0.023 -0.516
item_ammo_revolver_ttt	-260.572327 -2222.535889 32.422516	1.028 -0.028 -0.667
item_ammo_revolver_ttt	-1205.094727 -1843.989502 -360.134125	0.618 -0.044 -0.014
item_ammo_revolver_ttt	-1197.865601 -1833.693726 -360.209900	0.736 -0.978 -0.024
item_ammo_revolver_ttt	116.621368 -2254.674316 412.449890	0.858 -0.028 -0.556
item_ammo_revolver_ttt	108.711899 -2253.250732 413.112030	0.790 0.380 10.798
item_ammo_revolver_ttt	83.427116 -2249.512939 412.423920	1.011 -0.027 -0.647
item_ammo_revolver_ttt	92.744385 -2249.510498 412.428741	1.149 -0.035 -1.061
weapon_zm_sledge	325.851685 -1194.232788 -130.191544	18.634 -0.318 2.992
weapon_zm_sledge	322.520447 -1243.516113 -130.191544	18.634 -0.326 2.992
weapon_zm_revolver	24.265026 -2275.513428 270.469604	1.272 -26.666 -87.062
weapon_zm_revolver	185.948303 -1183.321045 8.969702	1.313 -20.120 -86.990
weapon_zm_revolver	-222.566650 424.260986 4.819658	3.483 -16.454 -83.239
weapon_zm_revolver	719.484802 312.772675 520.896179	2.248 169.902 -84.546
weapon_zm_revolver	1186.606445 -209.215897 168.815002	3.521 -16.428 -83.175
weapon_zm_revolver	1755.500244 -2373.300781 136.762772	2.747 -31.052 -82.232
weapon_zm_revolver	-226.710342 -2140.825684 256.984650	1.645 -10.975 -87.651
weapon_zm_revolver	622.885437 137.546738 168.868195	3.060 -16.801 -83.931
weapon_zm_revolver	-294.021240 -2222.160156 32.865761	3.114 -16.571 -83.876
weapon_zm_revolver	-1195.853149 -1847.558472 -359.582550	2.251 -22.755 -85.388
weapon_zm_revolver	110.035278 -2249.601074 412.828918	1.849 -17.166 -84.512
weapon_zm_revolver	89.580750 -2243.180420 412.961151	2.249 -28.270 -85.255
